成癮 性別 年齡 都市 學業 輟學 親近學校 同儕 睡眠 憂鬱 自尊 家庭監督 家庭控制
是 男 高 否 高 否 高 高 低 低 低 低 低
是 男 低 是 高 否 低 低 低 低 高 低 高
是 男 低 是 高 否 低 低 高 低 高 高 低
是 女 高 是 高 否 高 高 高 低 高 高 低
是 男 低 否 低 否 高 低 低 低 低 高 低
是 女 低 否 低 否 高 高 高 低 高 高 低
是 男 高 是 高 否 高 高 低 低 低 低 低
是 男 高 否 低 否 低 高 低 低 低 高 高
是 女 高 是 高 否 低 低 低 高 低 高 高
是 女 低 否 高 否 低 低 低 低 低 高 低
是 女 高 否 高 否 高 高 低 低 高 高 高
是 男 低 否 高 否 高 低 低 低 低 低 低
是 女 高 是 高 否 低 低 低 高 低 低 低
是 女 高 是 高 否 低 高 高 低 高 低 高
是 男 低 否 低 否 高 高 高 低 低 低 高
是 男 低 否 低 否 低 高 低 高 高 低 高
是 女 高 是 高 否 高 高 低 低 低 高 低
是 男 低 是 低 否 低 低 低 高 低 低 低
是 男 低 是 高 否 低 低 高 低 低 高 低
是 男 高 是 高 否 高 高 高 高 低 高 高
是 女 高 是 低 否 高 低 高 高 低 低 低
是 男 高 是 低 否 低 低 低 低 低 低 低
是 女 低 是 高 否 低 低 低 高 低 高 高
是 女 低 是 低 否 低 低 高 高 低 低 高
是 男 低 否 高 否 高 低 低 高 低 高 低
是 男 低 是 高 否 高 低 低 低 低 高 低
是 男 高 否 低 否 低 低 低 高 低 低 高
是 男 高 否 低 否 低 低 低 低 低 高 低
是 男 高 否 高 否 高 高 低 低 低 高 低
是 女 高 是 高 否 高 低 低 低 高 高 高
是 女 高 是 高 否 低 低 低 高 低 高 低
是 男 低 是 低 否 低 低 低 低 高 低 高
是 男 低 否 高 否 低 高 高 低 高 高 低
是 男 低 是 高 否 低 低 低 低 高 高 高
是 男 低 是 低 否 低 高 低 低 高 低 高
是 男 低 否 高 否 低 高 高 高 低 高 低
是 男 低 是 高 否 高 高 高 低 低 高 低
是 男 低 否 高 否 高 高 低 低 低 高 低
是 女 低 是 高 否 低 低 低 低 低 低 高
是 男 低 是 高 否 高 高 高 低 高 高 低
是 男 高 否 高 是 高 高 低 低 高 低 高
是 男 高 是 低 是 低 高 低 高 高 高 高
是 男 低 是 高 否 低 高 低 低 低 高 高
是 男 高 否 高 否 高 高 低 低 低 低 高
是 男 高 是 低 否 低 高 高 高 低 低 低
是 男 低 是 高 否 高 低 高 低 低 低 低
是 女 高 是 低 否 高 低 高 低 低 低 低
是 男 低 是 低 否 低 低 高 低 低 高 高
是 女 低 否 低 否 低 高 低 低 低 低 高
是 男 高 否 高 否 低 低 低 低 高 低 高
是 女 高 是 高 否 高 低 低 低 低 低 高
是 女 低 是 高 否 高 高 低 低 高 低 低
是 女 高 是 高 否 高 高 高 低 低 低 低
是 男 低 是 低 否 低 高 低 高 低 低 低
是 男 低 否 高 否 高 低 低 低 低 低 低
是 男 低 否 低 否 低 低 高 高 低 低 低
是 男 低 否 低 否 高 高 低 低 低 低 低
是 男 低 是 低 否 低 高 高 低 低 低 低
是 男 高 是 高 否 高 高 高 低 低 高 低
是 男 高 是 高 否 低 低 低 低 低 低 低
是 男 高 是 高 否 高 高 高 低 高 高 低
是 女 高 是 高 否 低 低 高 高 低 低 低
是 男 高 是 低 否 低 低 高 高 低 高 低
是 男 高 否 高 是 低 高 高 低 高 低 低
是 男 高 否 高 否 高 高 低 低 低 低 低
是 男 高 是 高 否 高 低 低 低 低 低 高
是 男 高 是 高 否 高 低 高 低 低 低 低
是 女 高 是 低 否 低 高 低 低 低 低 低
是 男 高 是 高 否 低 低 低 低 高 低 高
是 男 低 否 低 否 低 低 低 低 低 低 低
是 女 高 否 低 否 低 高 低 低 低 高 低
是 男 高 是 低 否 低 高 高 低 低 高 低
是 男 低 是 低 否 低 低 低 高 低 低 高
是 女 低 否 高 否 低 低 低 低 低 低 低
是 男 低 否 高 否 低 高 低 低 低 低 高
是 男 高 是 低 否 低 低 高 高 低 低 高
是 男 低 是 高 否 低 高 高 低 低 低 低
是 男 高 是 高 否 低 高 高 低 低 高 低
是 男 低 是 高 否 低 低 低 低 低 低 高
是 男 高 否 高 否 高 高 低 低 低 低 低
是 男 低 是 高 否 低 低 低 低 高 低 高
是 男 低 否 低 否 低 低 低 高 低 高 高
是 男 高 否 低 否 低 低 低 低 低 低 高
是 男 低 是 高 否 低 低 高 高 低 高 低
是 女 高 否 低 否 低 低 低 高 低 高 高
是 男 高 否 高 否 高 低 高 低 高 高 低
是 女 低 是 低 否 高 低 高 低 低 高 低
是 男 高 否 低 否 低 低 低 低 低 高 低
是 男 低 否 高 否 低 低 高 高 高 低 低
是 男 低 是 高 否 低 低 低 低 高 高 低
是 女 低 否 高 否 低 高 低 低 低 低 高
是 男 低 是 高 否 低 高 低 低 高 低 低
是 女 高 是 高 否 高 高 低 低 高 低 低
是 女 低 是 低 否 低 低 低 低 低 低 高
是 男 低 是 高 否 高 高 高 低 高 低 低
是 女 低 是 高 否 低 低 低 低 高 低 高
是 男 高 是 高 否 高 高 低 低 高 高 低
是 女 高 是 高 否 低 低 低 高 低 高 高
是 男 高 否 低 是 高 高 低 低 高 高 低
是 女 低 否 高 否 高 高 低 低 低 高 低
是 男 高 否 高 否 高 高 低 低 高 高 低
是 男 高 否 低 否 低 低 高 高 低 高 低
是 男 低 是 低 否 低 高 高 低 高 高 低
是 男 低 否 高 否 低 高 低 低 低 高 低
是 男 高 否 高 否 高 低 低 高 低 高 低
是 男 高 否 低 否 高 高 低 低 高 低 低
是 女 低 否 高 否 高 高 高 低 高 高 低
是 男 低 是 高 否 低 低 低 高 低 低 高
是 男 低 否 高 否 高 低 高 低 高 低 低
是 男 高 否 高 否 低 低 低 高 低 高 低
是 男 高 否 低 否 高 高 低 低 高 低 低
是 男 低 是 高 否 高 低 低 低 低 低 低
是 男 低 是 低 否 低 高 高 低 高 低 高
是 女 高 是 高 否 低 高 高 低 高 高 低
是 男 高 否 高 否 低 低 高 低 高 高 低
是 男 低 是 高 否 高 高 低 低 低 高 低
是 男 高 是 高 否 低 低 低 高 低 低 低
是 女 低 否 低 否 高 高 低 低 高 高 高
是 男 高 是 高 否 高 高 低 低 低 低 高
是 女 低 是 低 否 高 低 低 低 低 低 低
是 女 低 否 高 否 高 低 高 低 高 低 低
是 男 高 否 低 否 高 高 高 低 低 高 低
是 男 低 是 低 否 高 高 高 低 高 高 低
是 女 低 是 高 否 高 高 低 低 低 低 高
是 男 高 是 高 否 高 高 高 低 高 高 低
是 男 高 是 低 否 低 高 低 低 低 低 低
是 女 高 是 低 是 低 低 低 高 低 低 高
是 男 高 否 高 否 低 高 低 低 低 低 低
是 男 高 是 高 否 高 高 低 高 高 低 低
是 男 低 是 高 否 低 低 低 低 高 低 低
是 女 低 是 高 否 高 高 高 低 高 高 低
是 男 高 是 低 否 低 高 低 低 高 高 低
是 男 低 否 高 否 低 低 低 高 低 低 低
是 女 低 否 高 否 高 低 低 低 低 低 低
是 男 高 是 高 否 高 低 低 低 低 低 低
是 男 高 否 高 否 低 高 高 低 低 高 低
是 男 低 是 低 否 低 低 高 低 低 高 低
是 女 低 否 高 否 低 低 低 低 高 低 高
是 男 高 是 高 否 低 低 高 高 低 高 低
是 女 高 是 高 否 高 高 低 高 低 高 低
是 男 高 是 高 否 高 高 低 低 高 低 低
是 男 高 是 高 否 高 高 低 低 低 高 低
是 男 低 否 低 否 低 低 低 低 低 低 高
是 女 低 否 高 是 低 高 高 低 低 低 高
是 男 高 是 高 否 低 高 低 低 低 低 低
是 女 低 否 高 否 高 高 高 低 低 高 低
是 男 低 是 低 是 低 低 低 高 低 低 低
是 女 低 是 高 否 高 低 低 高 低 低 高
是 女 低 是 低 否 低 低 低 低 低 高 低
是 男 低 否 高 否 低 高 高 低 高 低 高
是 男 高 否 高 否 高 低 低 高 低 低 低
是 男 高 是 高 否 低 高 低 低 低 低 高
是 男 高 是 高 否 高 高 低 高 低 低 低
是 男 低 是 高 否 高 高 高 低 低 低 低
是 女 高 是 高 是 高 高 高 低 高 高 低
是 男 高 否 低 否 低 高 高 低 高 高 低
是 女 高 否 低 否 低 高 低 高 低 低 高
是 女 高 是 高 否 低 低 低 低 低 低 高
是 女 高 是 低 否 低 低 低 低 低 高 低
是 女 低 是 高 否 高 低 低 高 低 高 高
是 男 低 否 高 否 高 低 低 低 高 高 低
是 男 低 否 高 否 低 低 低 低 低 低 低
是 男 高 是 高 否 低 高 低 低 高 低 低
是 男 低 是 低 否 低 低 高 低 低 高 低
是 女 低 否 低 否 低 低 低 高 低 低 高
是 女 低 否 低 否 低 高 低 低 低 低 高
是 女 低 否 低 否 低 低 低 高 低 高 低
是 女 低 是 高 否 低 高 低 低 高 低 低
是 男 高 是 高 否 低 低 低 低 低 高 低
是 女 高 是 高 否 低 高 低 低 高 低 高
是 男 高 是 高 否 高 高 低 低 高 低 低
是 男 高 否 高 否 高 高 低 高 低 高 低
是 男 高 是 低 否 高 高 低 低 低 低 高
是 男 高 是 高 否 低 高 高 高 低 低 低
是 女 高 是 高 否 高 高 低 低 高 高 高
是 男 低 否 低 否 低 高 低 低 低 低 低
是 男 低 否 高 否 低 低 低 高 低 高 高
是 男 低 是 高 否 低 高 高 低 低 高 低
是 男 低 是 低 否 低 低 低 低 高 低 高
是 男 低 是 高 是 高 高 高 低 低 低 低
是 男 高 否 高 否 低 低 低 高 低 低 低
是 男 低 否 高 否 高 低 高 低 高 低 低
是 男 低 是 低 否 高 低 低 高 低 低 高
是 女 低 否 低 否 高 高 低 低 低 低 高
是 女 低 是 高 否 低 低 低 高 低 高 低
是 男 高 是 高 否 低 低 高 低 高 低 低
是 男 高 是 高 否 高 高 低 低 低 低 低
是 男 低 否 低 否 高 低 低 低 低 低 高
是 男 高 是 高 否 高 低 低 低 低 高 低
是 女 低 否 高 否 低 高 高 低 高 高 低
是 女 高 是 高 否 低 高 低 低 低 高 低
是 男 低 是 低 否 低 高 低 低 高 高 低
是 男 低 否 高 否 高 低 低 低 高 高 低
是 女 低 是 低 否 低 低 低 高 高 低 高
是 女 低 否 高 否 低 低 低 高 低 低 低
是 男 低 否 高 否 低 高 低 低 高 高 低
是 男 低 否 高 否 高 高 低 低 低 高 低
是 男 高 是 低 否 高 高 低 低 高 低 低
是 男 低 是 低 否 高 低 低 高 低 低 低
是 男 高 否 低 否 高 高 低 低 低 低 高
是 女 高 是 高 否 高 高 高 低 高 高 低
是 女 高 否 低 否 高 低 高 高 低 高 高
是 女 高 是 高 否 低 高 低 低 低 低 低
是 女 低 是 高 否 低 高 高 低 高 高 低
是 男 高 是 高 是 低 低 低 高 低 低 高
是 男 低 否 高 否 高 低 低 低 低 高 低
是 女 高 是 高 否 低 高 低 低 低 高 低
是 女 高 是 高 否 高 高 高 低 高 高 低
是 男 高 是 低 否 低 高 低 低 低 低 高
是 男 低 是 高 否 低 高 低 低 低 低 低
是 女 高 否 高 否 高 高 高 低 高 高 低
是 男 高 是 高 否 低 低 低 低 高 低 低
是 男 高 否 高 否 高 低 低 低 低 高 高
是 男 高 是 高 否 高 高 低 低 低 低 低
是 男 高 是 高 否 高 低 低 高 低 高 高
是 女 高 否 低 否 低 低 高 低 低 高 低
是 男 高 是 高 否 高 高 低 低 高 低 低
是 女 低 否 高 否 高 高 高 低 高 高 低
是 男 高 否 高 否 低 高 低 低 高 低 高
是 女 低 是 高 否 低 高 低 高 低 低 高
是 女 低 是 高 否 高 高 低 高 低 低 低
是 男 低 是 高 否 低 低 高 低 低 高 低
是 男 低 是 低 否 低 低 低 低 高 低 低
是 女 低 是 高 否 高 高 低 低 高 高 低
是 男 高 否 高 否 高 低 低 高 低 低 高
是 男 低 否 高 否 高 高 低 低 低 低 低
是 男 低 是 高 否 低 低 高 低 高 低 低
是 男 高 是 低 否 低 高 低 低 高 低 低
是 男 高 否 高 否 高 高 高 低 高 低 低
是 男 低 否 高 否 低 低 低 低 高 高 低
是 女 高 否 高 否 高 高 高 低 低 高 低
是 男 高 是 高 否 高 高 低 低 高 低 低
是 男 高 是 低 否 高 高 低 低 高 高 低
是 女 高 是 高 否 高 低 高 低 高 高 低
是 女 高 是 高 否 低 高 低 低 低 高 低
是 女 低 是 高 否 高 高 低 低 低 低 高
是 男 高 是 高 否 高 低 低 低 低 低 高
是 男 高 是 低 否 高 高 低 低 高 低 高
是 男 低 是 低 否 低 低 低 低 低 低 低
是 女 低 是 高 否 高 高 低 低 高 低 高
是 男 低 否 低 否 低 高 低 低 低 低 低
是 男 低 是 低 是 高 高 低 低 低 低 低
是 男 高 否 高 否 低 高 低 低 高 低 低
是 男 高 否 低 否 低 低 低 高 低 低 低
是 男 高 是 高 否 低 低 低 高 低 高 高
是 女 高 否 高 是 低 低 低 低 高 低 高
是 女 高 是 低 否 低 高 低 低 高 高 低
是 男 高 是 低 否 低 高 低 低 低 低 低
是 女 高 是 低 否 高 低 低 低 高 高 低
是 男 高 是 高 否 低 高 低 低 高 低 低
是 女 高 否 低 否 高 高 高 低 低 高 高
是 男 高 否 高 否 低 低 低 低 高 低 低
是 女 低 是 低 否 低 高 低 低 低 高 低
是 女 低 是 低 否 低 高 低 高 低 低 高
是 女 高 否 低 否 高 高 低 低 低 低 低
是 男 低 否 高 否 低 高 高 低 低 高 高
是 女 高 是 低 否 高 高 低 低 低 低 低
是 男 高 是 高 否 低 低 低 高 低 低 低
是 男 低 否 高 否 高 高 低 低 低 高 低
是 男 高 是 高 否 低 低 低 低 低 低 低
是 男 低 是 高 否 低 高 低 高 低 低 高
是 男 低 否 高 否 低 低 低 高 低 高 低
是 女 高 是 高 否 低 低 低 低 低 低 高
是 女 低 否 低 否 高 低 高 低 低 高 高
是 男 高 是 高 否 高 高 低 低 低 高 低
是 女 高 是 高 否 低 低 高 低 低 高 低
是 男 高 否 高 否 低 低 高 低 低 高 低
是 男 低 是 低 否 低 低 低 低 低 高 低
是 男 低 是 低 否 低 低 低 高 低 低 高
是 女 低 是 高 否 低 低 高 低 高 高 低
是 男 高 否 高 否 低 高 高 低 高 高 低
是 女 高 是 高 否 高 低 低 高 低 高 低
是 女 高 否 高 否 低 高 高 高 低 低 高
是 男 高 否 低 否 高 高 低 低 低 低 低
是 男 高 是 高 否 低 高 低 低 低 高 低
是 男 高 否 高 否 高 低 低 低 低 低 低
是 女 低 是 低 否 高 低 低 低 低 高 高
是 男 高 是 高 否 高 高 高 低 高 低 低
是 男 高 是 高 否 低 高 低 高 低 低 高
是 男 高 是 高 否 高 低 低 高 低 低 低
是 男 高 是 高 否 高 低 低 低 低 低 高
是 男 低 是 低 否 低 高 低 低 低 高 高
是 男 低 是 高 否 高 高 低 低 低 低 低
是 女 低 是 高 否 低 低 高 高 低 高 低
是 男 高 否 低 否 低 高 低 高 低 低 低
是 女 高 是 高 否 高 高 低 低 低 高 低
是 男 高 否 低 否 低 低 低 高 低 低 高
是 男 高 是 高 否 高 低 低 高 低 高 高
是 女 高 是 高 否 低 低 低 低 低 低 高
是 男 高 是 低 否 低 高 高 低 高 高 低
是 女 低 否 高 否 低 低 低 低 低 低 高
是 男 低 是 低 否 高 高 高 低 高 低 低
是 女 低 是 低 是 高 低 低 低 低 低 低
是 女 高 是 高 否 低 低 低 高 低 低 高
是 女 高 是 低 是 高 低 低 低 低 低 低
是 女 高 是 高 否 高 低 高 低 高 高 低
是 男 低 否 高 否 高 高 低 低 低 高 低
是 男 高 是 高 否 低 低 低 低 低 高 低
是 男 高 是 高 否 高 低 低 低 低 低 高
是 女 高 否 高 否 高 高 高 低 低 高 低
是 男 高 否 高 否 低 高 高 低 高 低 低
是 男 低 否 低 是 高 低 低 低 低 低 低
是 男 高 否 高 否 高 低 高 低 高 高 低
是 男 低 否 高 否 高 低 低 低 低 低 高
是 男 高 是 低 否 低 高 低 高 低 低 低
是 男 低 是 低 否 低 高 高 低 高 高 低
是 女 低 是 低 否 高 低 低 低 低 低 低
是 男 高 是 高 否 高 低 低 低 低 低 低
是 男 高 是 高 否 低 高 低 低 低 低 低
是 男 高 否 低 否 低 低 低 低 低 低 高
是 男 高 是 低 否 低 高 低 低 高 低 高
是 男 高 是 低 是 低 低 低 低 低 低 高
是 男 高 是 低 否 低 高 低 低 高 高 低
是 男 高 否 高 否 低 低 低 低 低 高 低
是 女 高 是 高 否 低 低 低 低 低 低 高
是 男 高 否 高 否 高 低 低 低 低 低 低
是 男 高 是 低 否 低 低 低 低 高 低 低
是 女 高 是 低 否 低 高 低 低 低 高 高
是 男 低 是 高 否 高 高 高 低 高 高 低
是 女 高 是 高 否 高 高 高 低 低 低 低
是 女 高 是 低 否 低 低 低 低 低 低 低
是 男 高 是 低 是 低 低 低 低 低 低 高
是 女 高 是 高 否 高 高 高 高 低 低 低
是 男 高 是 高 否 高 高 高 低 低 低 低
是 女 高 否 低 否 高 低 低 高 低 低 高
是 女 低 是 低 否 低 低 低 低 低 高 高
是 男 低 是 高 否 高 高 低 高 高 高 高
是 男 低 否 高 否 低 低 低 高 低 高 高
是 男 低 否 低 否 低 低 低 高 低 低 低
是 男 高 是 高 否 高 高 高 低 高 低 低
是 男 低 是 高 否 低 低 低 高 低 低 高
是 女 高 是 低 否 低 高 低 低 低 低 高
是 男 低 是 高 否 高 高 高 低 高 高 低
是 男 低 是 低 否 低 高 低 低 低 低 低
是 女 高 否 高 否 高 高 低 高 低 低 低
是 男 高 否 低 否 高 高 高 低 高 低 低
是 男 低 是 高 否 高 高 高 低 低 高 低
是 女 低 否 高 否 高 低 低 低 低 高 低
是 男 高 是 低 否 低 低 低 低 低 低 低
是 男 低 是 高 否 低 高 低 低 高 高 低
是 男 高 是 高 否 高 高 高 低 高 低 低
是 男 高 否 高 否 高 高 高 低 高 高 低
是 男 高 否 高 否 高 低 低 低 高 低 低
是 男 高 是 高 否 低 高 低 高 低 低 高
是 女 低 是 高 否 低 高 低 高 低 低 低
是 男 低 是 高 否 高 低 高 低 低 高 高
是 男 高 是 低 否 高 低 低 高 低 低 高
是 男 高 否 高 否 高 低 高 低 低 低 高
是 男 高 是 低 否 低 低 低 低 低 低 高
是 男 低 是 高 否 高 低 低 高 低 高 低
是 女 高 是 高 否 低 高 低 高 低 低 低
是 女 高 否 低 否 高 高 低 低 低 低 高
是 男 低 是 高 否 低 低 低 高 低 低 高
是 男 低 否 高 否 低 高 低 低 低 高 低
是 男 高 是 高 否 低 高 低 高 低 低 低
是 女 高 是 高 否 高 低 高 高 高 低 低
是 男 低 是 高 否 高 高 低 低 低 高 高
是 男 低 否 高 否 低 低 低 低 低 低 低
是 男 低 是 高 否 高 低 高 低 高 低 低
是 男 低 否 高 否 高 低 低 低 高 低 低
是 男 高 否 低 否 低 高 低 低 低 高 高
是 女 高 是 高 否 高 高 低 低 低 低 低
是 男 高 否 低 否 高 高 高 低 高 低 低
是 女 低 否 低 否 低 高 低 高 低 低 高
是 男 高 是 高 否 低 高 高 低 高 高 低
是 男 高 是 高 否 高 高 高 低 高 低 低
是 女 低 是 高 否 高 高 高 低 高 高 低
是 女 高 是 高 否 高 高 低 低 高 高 低
是 女 高 是 高 否 低 低 高 高 低 高 低
是 男 低 否 低 否 低 高 低 高 低 高 低
是 男 高 否 低 否 低 低 低 低 高 低 低
是 男 高 是 高 否 低 低 高 低 低 高 低
是 男 高 否 低 否 低 低 低 高 低 低 低
是 女 低 是 高 否 高 高 高 高 低 高 低
是 男 高 是 高 否 低 高 高 低 低 低 低
是 男 低 是 高 否 高 高 低 高 高 高 高
是 男 高 否 高 否 高 低 低 低 低 低 高
是 男 高 是 高 否 高 低 高 低 高 高 低
是 女 低 是 低 否 高 低 低 高 低 低 高
是 男 高 是 高 否 低 低 低 低 低 低 低
是 男 高 是 高 否 低 低 低 高 低 低 高
是 女 低 否 低 否 低 高 低 低 低 高 高
是 女 低 否 高 否 低 低 低 低 低 高 高
是 男 低 否 低 否 低 低 低 高 低 低 高
是 男 高 是 高 否 低 低 高 低 低 低 高
是 女 低 否 高 否 高 低 高 低 高 高 低
是 男 低 否 高 否 低 低 低 低 低 低 高
是 男 低 否 高 否 高 高 低 低 高 高 低
是 男 低 是 高 否 高 低 低 低 低 低 低
是 男 高 否 低 否 高 高 低 低 高 低 高
是 男 高 是 低 否 低 低 低 高 低 高 高
是 男 高 否 低 是 高 高 高 低 低 高 低
是 女 高 否 高 否 低 低 低 高 低 低 高
是 女 低 否 低 否 低 低 低 高 低 低 高
是 女 高 是 高 否 低 高 低 低 低 低 低
是 男 高 是 低 是 低 低 低 低 低 低 高
是 男 低 否 高 否 低 低 低 低 高 高 低
是 男 低 否 高 否 高 高 高 低 高 低 低
是 男 高 是 低 是 低 低 低 低 低 低 低
是 男 低 是 高 否 高 低 低 低 低 高 高
是 男 低 是 低 否 低 低 低 低 低 低 高
是 男 低 是 低 否 低 高 高 低 高 高 低
是 男 低 否 低 否 高 高 高 低 高 低 低
是 男 低 是 低 否 低 低 高 低 高 低 低
是 男 高 是 高 否 低 低 低 低 低 低 高
是 男 高 是 高 否 高 高 低 低 低 高 低
是 女 低 否 高 否 高 低 高 低 高 高 高
是 男 低 否 低 否 低 低 低 低 高 低 低
是 男 低 否 高 否 高 低 高 低 低 高 高
是 男 低 是 低 否 低 低 低 高 低 低 高
是 男 低 是 高 否 高 高 高 低 低 低 低
是 男 高 是 高 否 低 低 低 高 低 低 高
是 女 低 否 高 否 高 高 高 低 低 低 低
是 男 高 否 高 否 高 低 低 低 低 低 低
是 男 高 是 低 否 低 高 高 低 低 低 低
是 男 高 是 高 否 高 低 高 低 低 低 低
是 女 高 是 高 否 低 高 低 低 低 高 低
是 女 高 是 高 否 低 低 低 低 低 低 高
是 男 低 是 高 否 高 低 低 高 低 低 低
是 男 高 是 低 否 低 高 低 低 低 低 低
是 男 高 是 高 否 低 低 低 高 低 低 高
是 女 高 否 高 否 高 低 低 低 高 低 高
是 男 低 是 低 否 高 低 低 高 低 低 低
是 女 高 是 高 否 高 高 高 低 高 高 高
是 男 低 否 高 否 低 低 低 低 低 高 高
是 男 低 是 低 否 低 低 低 高 低 低 低
是 女 低 是 高 否 低 高 低 低 低 高 高
是 男 低 是 低 否 高 低 低 低 低 高 低
是 女 高 是 低 否 高 高 高 低 低 高 低
是 男 高 是 低 否 低 低 高 低 低 高 低
是 女 高 否 高 是 高 高 低 低 低 高 低
是 男 低 否 高 否 低 低 低 低 高 低 低
是 女 高 是 高 是 低 高 低 低 高 低 低
是 女 高 是 高 否 高 低 高 高 低 高 低
是 男 低 是 高 否 高 高 低 低 高 高 高
是 男 高 是 高 否 高 高 高 低 高 低 低
是 男 低 是 高 否 低 高 低 高 低 高 高
是 女 高 是 高 否 高 高 高 低 高 高 低
是 男 低 否 低 否 高 高 高 低 高 低 低
是 男 高 是 高 否 高 高 高 低 高 高 低
是 男 高 否 高 否 高 低 低 低 高 低 高
是 男 高 否 低 是 高 高 低 低 高 低 高
是 女 低 否 高 否 高 高 低 高 高 高 低
是 男 高 是 低 否 低 低 低 低 高 高 低
是 男 高 是 高 否 高 低 低 高 高 高 低
是 女 低 否 高 否 高 高 高 低 高 低 高
是 女 高 否 低 否 低 高 低 高 低 低 高
是 男 高 是 低 否 高 低 低 低 低 低 高
是 女 低 是 高 否 低 低 高 低 低 高 低
是 男 低 否 高 否 高 高 高 低 高 高 低
是 男 高 是 高 否 低 高 低 高 高 低 低
是 男 低 否 高 否 低 高 高 低 低 低 低
是 女 高 是 高 否 高 低 低 低 高 低 低
是 女 高 否 高 否 低 低 高 高 低 高 低
是 男 高 是 高 否 低 低 高 低 低 高 低
是 男 高 否 低 否 低 高 低 低 高 低 低
是 男 低 是 高 否 高 高 低 低 低 低 高
是 男 高 是 高 否 低 高 低 低 高 高 低
是 男 高 否 低 否 低 低 低 高 高 低 高
是 女 低 是 高 否 低 高 低 高 低 高 高
是 女 高 否 高 否 低 高 高 低 低 高 低
是 男 高 是 高 否 高 低 低 低 低 低 低
是 男 高 是 高 否 低 低 低 低 低 高 高
是 男 低 否 高 否 高 高 高 低 高 高 低
是 男 低 是 高 否 低 低 低 低 低 低 低
是 男 高 是 低 否 高 高 低 低 低 低 低
是 女 低 否 高 否 低 高 低 高 低 高 高
是 女 高 是 高 否 高 高 低 低 高 低 高
是 女 低 否 高 否 高 低 高 低 高 低 低
是 男 低 否 高 否 低 低 低 高 低 高 低
是 男 高 是 高 否 低 低 低 高 低 高 高
是 女 高 否 高 否 高 高 低 低 高 高 低
是 男 高 否 高 否 低 低 高 低 低 高 低
是 女 高 是 高 否 低 高 低 低 低 低 高
是 女 低 否 高 否 高 低 低 高 低 高 高
是 女 高 否 低 否 低 高 低 低 高 低 低
是 男 低 是 低 否 高 低 高 低 高 高 低
是 男 高 是 低 否 低 高 低 低 高 高 低
是 男 低 是 低 否 低 高 低 低 低 低 高
是 女 低 否 高 否 低 低 低 高 低 高 高
是 女 低 是 低 否 低 高 低 低 低 低 高
是 女 低 是 低 否 高 高 低 高 低 低 高
是 女 高 否 高 否 高 高 低 低 低 低 高
是 男 高 否 高 否 高 高 高 低 高 高 低
是 男 高 是 低 否 高 高 低 高 低 高 低
是 女 低 否 高 否 高 高 低 低 低 低 高
是 女 低 是 低 否 高 低 低 低 低 低 高
是 男 低 否 低 否 低 高 低 低 高 高 低
是 女 低 否 低 否 低 低 低 低 高 低 低
是 女 低 否 低 否 高 高 低 低 低 高 低
是 男 低 否 高 否 高 低 低 低 低 高 低
是 男 低 否 高 否 低 高 低 低 低 低 低
是 男 高 是 高 否 高 高 高 低 高 高 高
是 女 低 否 低 否 低 低 低 低 低 低 低
是 男 低 是 低 否 低 低 低 高 低 高 低
是 女 高 是 高 否 高 低 低 低 低 低 低
是 女 低 是 高 否 高 低 低 高 低 高 高
是 女 高 是 高 否 高 高 高 低 高 低 低
是 男 低 是 高 否 高 低 高 低 低 低 低
是 男 高 是 高 否 高 高 高 低 低 低 低
是 男 低 是 高 否 高 高 低 低 高 高 低
是 男 高 否 高 是 低 低 高 低 低 低 高
是 男 低 是 低 否 高 高 低 低 高 高 低
是 女 高 是 低 否 高 高 低 低 低 低 高
是 男 低 否 高 否 低 低 低 低 高 低 低
是 男 低 是 低 否 低 低 低 低 低 高 高
是 女 高 是 高 否 高 高 低 低 高 高 低
是 女 低 是 低 否 低 高 低 高 低 低 高
是 男 低 是 低 否 高 高 低 低 高 低 低
是 女 高 是 高 否 低 低 低 高 低 低 低
是 男 低 是 低 否 低 低 低 低 低 高 高
是 男 低 是 高 否 高 高 高 高 低 低 高
是 男 低 否 高 否 低 低 低 低 低 低 低
是 女 高 是 高 否 高 低 低 低 低 高 高
是 男 高 是 高 否 低 低 低 高 低 低 高
是 男 低 是 高 否 低 高 低 低 高 低 低
是 男 高 是 低 否 低 高 高 低 低 低 低
是 男 高 是 高 否 低 低 低 低 低 高 低
是 男 高 否 高 否 高 低 高 低 低 高 低
是 女 高 是 低 否 低 高 低 低 低 高 高
是 女 低 否 低 否 高 低 低 低 低 低 低
是 男 高 是 高 否 低 低 低 高 低 高 低
是 女 高 是 高 否 低 低 低 低 低 低 高
是 男 高 是 高 否 高 低 高 高 低 低 低
是 女 高 是 高 否 高 高 高 低 高 高 低
是 女 低 是 高 否 低 低 高 高 高 高 低
是 男 高 是 高 否 高 高 低 低 高 低 低
是 男 低 否 低 否 高 低 低 低 高 低 高
是 女 高 否 高 否 高 低 低 高 低 低 高
是 女 高 是 低 否 高 低 低 高 低 高 低
是 男 高 是 高 否 低 低 高 高 低 高 低
是 男 低 是 高 否 高 高 高 低 高 高 低
是 男 低 否 高 否 高 低 高 低 高 低 低
是 男 低 否 高 否 低 低 低 低 低 低 低
是 女 低 否 低 否 低 低 低 高 低 高 高
是 女 低 是 高 否 高 高 高 低 高 高 低
